John Boyne;A gyáva
Kristine Barnett;A szikra  egy anya története a zseninevelésrõl
Pierce Brown;Vörös lázadás
Dragomán György;Máglya
Krusovszky Dénes;A fiúk országa
Tim Harford;Az oknyomozó közgazdász  Hogyan virágoztathatjuk fel vagy tehetjük tönkre egy ország gazdaságát?
Lian Dolan;Szerelmem, William
Chuck Palahniuk;Halálraítélt
Christopher Moore;A Melankólia-öböl buja bestiája
John le Carré;Tükrök háborúja
Totth Benedek;Holtverseny
Lawrence Block;Sírok között
Typex;Rembrandt
Stephen King;Mr. Mercedes
David Cronenberg;Konzum
Irvine Welsh;Mocsok
Nic Pizzolatto;Galveston
Dimitri Verhulst;Krisztus bevonulása Brüsszelbe
Bódis Kriszta;Carlo Párizsban
Csurgó Csaba;Kukoricza
Adrian Barnes;Álmatlanok
Vlagyimir Szorokin;Tellúria
Isaac Asimov;A halhatatlanság halála
Mark Lawrence;Bolondok hercege
Kemény Zsófi;Én még sosem
Ann Leckie;Mellékes igazság
Mikkel Birkegaard;A holttestemen keresztül
Jo Nesb?;A fiú
Elizabeth Gilbert;A lélek botanikája
